ItemName,Limit-L,Limit-H,Bias1,Bias2,RV,SeqItemName,SeqLimit-L,SeqLimit-H,SeqBias1,SeqBias2,SeqRV
VFBC,100m,500m,100.0u,0.0p,,4,5,4,4,4,4
VFEC,100m,500m,100.0u,0.0p,,7,8,7,7,7,7
IEB,,50u,200.0,100.0u,,10,,10,10,10,10
ICBO,,50u,200.0,100.0u,,11,,11,11,11,11
ICEO,,50u,200.0,100.0u,,12,,12,12,12,12
BVCBO,200,,1.0m,400.0,,13,13,,13,13,13
BVCEO,200,,1.0m,400.0,,15,15,,15,15,15
VFBC,,950m,10.0,0.0p,,17,,17,17,17,17
VFEC,,950m,10.0,0.0p,,19,,19,19,19,19
VFBC,,950m,10.0,0.0p,,21,,21,21,21,21
VFEC,,950m,10.0,0.0p,,23,,23,23,23,23
ABSDEL,,15m,17.0,21.0,,25,,25,25,25,25
ABSDEL,,15m,19.0,23.0,,26,,26,26,26,26
BVCBO,200,,10.0m,400.0,,27,,27,27,27,27
BVCEO,200,,10.0m,400.0,,29,,29,29,29,29
ABSDEL,,5,13.0,27.0,,31,,31,31,31,31
ABSDEL,,5,15.0,29.0,,32,,32,32,32,32
ICBO,,50u,200.0,100.0u,,33,,33,33,33,33
ICEO,,50u,200.0,100.0u,,34,,34,34,34,34
ABSDEL,,70u,11.0,33.0,,35,,35,35,35,35
ABSDEL,,70u,12.0,34.0,,36,,36,36,36,36
