ItemName,Limit-L,Limit-H,Bias1,Bias2,RV,SeqItemName,SeqLimit-L,SeqLimit-H,SeqBias1,SeqBias2,SeqRV
VTH,2.6,4.4,250.0u,0.0p,,2,3,2,2,2,2
ISGS,,9.9m,42.0,5.0u,,4,,4,4,4,4
ISGS,,9.9m,42.0,5.0u,RV,5,,5,5,5,5
ISGS,,70n,30.0,1.0u,,6,,6,6,6,6
ISGS,,70n,30.0,1.0u,RV,7,,7,7,7,7
BVDSS,404,,250.0u,900.0,,8,8,,8,8,8
BVDSS,404,,250.0u,900.0,,10,10,,10,10,10
BVDSS,404,,1.0m,900.0,,12,12,,12,12,12
BVDSS,404,,10.0m,900.0,,13,13,,13,13,13
BVDSS,404,,25.0u,900.0,,14,14,,14,14,14
VTH,2.6,4.4,250.0u,0.0p,,15,16,15,15,15,15
ABSDEL,,0.2,2.0,15.0,,17,,17,17,17,17
DIVID,0.8,1.1,12.0,10.0,,18,19,18,18,18,18
DIVID,0.8,1.1,13.0,12.0,,20,21,20,20,20,20
ABSDEL,,10,10.0,8.0,,22,,22,22,22,22
ABSDEL,,20,10.0,14.0,,23,,23,23,23,23
ABSDEL,,10,12.0,8.0,,24,,24,24,24,24
RDON,,1.57,1.0,10.0,,25,,25,25,25,25
RDON,,1.57,2.1,10.0,,26,,26,26,26,26
VFSD,,1.2,1.0,0.0p,,27,,27,27,27,27
VFSD,0.6,1.2,4.2,0.0p,,28,29,28,28,28,28
IDSS,,0.2u,400.0,1.0u,,30,,30,30,30,30
ISGS,,70n,30.0,1.0u,,31,,31,31,31,31
ISGS,,70n,30.0,1.0u,RV,32,,32,32,32,32
