ItemName,Limit-L,Limit-H,Bias1,Bias2,RV,SeqItemName,SeqLimit-L,SeqLimit-H,SeqBias1,SeqBias2,SeqRV
VTH,0.3,5,250.0u,0.0p,,2,3,2,2,2,2
ISGS,,9.9m,50.0,10.0u,,6,,6,6,6,6
ISGS,,9.9m,50.0,10.0u,RV,7,,7,7,7,7
ISGS,,90n,30.0,1.0u,,8,,8,8,8,8
ISGS,,90n,30.0,1.0u,RV,9,,9,9,9,9
IDSS,,0.2u,500.0,10.0u,,10,,10,10,10,10
BVDSS,505,,250.0u,900.0,,11,11,,11,11,11
BVDSS,505,,250.0u,900.0,,13,13,,13,13,13
BVDSS,505,,1.0m,900.0,,15,15,,15,15,15
BVDSS,505,,10.0m,900.0,,17,17,,17,17,17
BVDSS,505,,25.0u,900.0,,19,19,,19,19,19
ABSDEL,,10.0,13.0,11.0,,21,,21,21,21,21
ABSDEL,,20.0,13.0,19.0,,22,,22,22,22,22
ABSDEL,,10,15.0,13.0,,23,,23,23,23,23
DIVID,0.8,1.15,15.0,13.0,,24,25,24,24,24,24
DIVID,0.8,1.15,17.0,15.0,,26,27,26,26,26,26
VTH,2.6,4.4,250.0u,0.0p,,28,29,28,28,28,28
ABSDEL,,0.2,2.0,28.0,,30,,30,30,30,30
RDON,,1000m,1.0,10.0,,31,,31,31,31,31
RDON,,1000m,3.5,10.0,,33,,33,33,33,33
VFSD,,1.3,1.0,0.0p,,35,,35,35,35,35
VFSD,0.5,1.3,7.0,0.0p,,36,36,37,36,36,36
IDSS,,0.2u,500.0,10.0u,,38,,38,38,38,38
ISGS,,90n,30.0,1.0u,,39,,39,39,39,39
ISGS,,90n,30.0,1.0u,RV,40,,40,40,40,40
