ItemName,Limit-L,Limit-H,Bias1,Bias2,RV,SeqItemName,SeqLimit-L,SeqLimit-H,SeqBias1,SeqBias2,SeqRV
VTH,2.6,,250.0u,0.0p,,3,4,,3,3,3
ISGS,,9.9m,50.0,10.0u,,5,,5,5,5,5
ISGS,,9.9m,50.0,10.0u,RV,6,,6,6,6,6
ISGS,,70n,30.0,1.0u,,7,,7,7,7,7
ISGS,,70n,30.0,1.0u,RV,8,,8,8,8,8
BVDSS,656,,250.0u,900.0,,9,9,,9,9,9
BVDSS,656,,250.0u,900.0,,11,11,,11,11,11
BVDSS,656,,1.0m,900.0,,13,13,,13,13,13
BVDSS,656,,10.0m,900.0,,15,15,,15,15,15
BVDSS,656,,25.0u,900.0,,17,17,,17,17,17
ABSDEL,,10.0,11.0,9.0,,19,,19,19,19,19
ABSDEL,,20.0,11.0,17.0,,20,,20,20,20,20
DIVID,0.8,1.1,13.0,11.0,,22,23,22,22,22,22
DIVID,0.8,1.1,15.0,13.0,,24,25,24,24,24,24
VTH,2.6,4.4,250.0u,0.0p,,26,27,26,26,26,26
ABSDEL,,0.2,3.0,26.0,,28,,28,28,28,28
RDON,,1.75,1.0,10.0,,29,,29,29,29,29
RDON,,1.75,2.5,10.0,,31,,31,31,31,31
VFSD,,1.2,1.0,0.0p,,33,,33,33,33,33
VFSD,0.5,1.2,5.0,0.0p,,34,34,35,34,34,34
IDSS,,0.2u,650.0,1.0u,,36,,36,36,36,36
ISGS,,70n,30.0,1.0u,,37,,37,37,37,37
ISGS,,70n,30.0,1.0u,RV,38,,38,38,38,38
