ItemName,Limit-L,Limit-H,Bias1,Bias2,RV,SeqItemName,SeqLimit-L,SeqLimit-H,SeqBias1,SeqBias2,SeqRV
VTH,2.6,4.4,250.0u,0.0p,,2,3,2,2,2,2
ISGS,,9.9m,50.0,10.0u,,4,,4,4,4,4
ISGS,,9.9m,50.0,10.0u,RV,5,,5,5,5,5
ISGS,,70n,30.0,1.0u,,6,,6,6,6,6
ISGS,,70n,30.0,1.0u,RV,7,,7,7,7,7
BVDSS,606,700,250.0u,900.0,,8,8,9,8,8,8
BVDSS,606,,250.0u,900.0,,10,10,,10,10,10
BVDSS,606,,1.0m,900.0,,12,12,,12,12,12
BVDSS,606,,10.0m,900.0,,14,14,,14,14,14
BVDSS,606,,25.0u,900.0,,16,16,,16,16,16
ABSDEL,,10.0,10.0,8.0,,18,,18,18,18,18
ABSDEL,,20.0,10.0,16.0,,19,,19,19,19,19
ABSDEL,,10,10.0,12.0,,20,,20,20,20,20
DIVID,0.8,1.1,12.0,10.0,,21,22,21,21,21,21
DIVID,0.8,1.1,14.0,12.0,,23,24,23,23,23,23
VTH,2.6,4.4,250.0u,0.0p,,25,26,25,25,25,25
ABSDEL,,0.2,2.0,25.0,,27,,27,27,27,27
RDON,,2.45,1.0,10.0,,28,,28,28,28,28
RDON,,2.45,2.0,10.0,,30,,30,30,30,30
VFSD,,1,1.0,0.0p,,32,,32,32,32,32
VFSD,0.5,1,4.0,0.0p,,33,33,34,33,33,33
IDSS,,0.2u,600.0,1.0u,,35,,35,35,35,35
ISGS,,70n,30.0,1.0u,,36,,36,36,36,36
ISGS,,70n,30.0,1.0u,RV,37,,37,37,37,37
